Date,LO_1,LO_2,OS_1,OS_2,DQS_1,DQS_2,Other
19-Feb-20,Claire Poppett,,Michael Walther,,Yuanhang Ning,,
20-Feb-20,Martin Landriau,,Sarah Eftekharzadeh,,Yuanhang Ning,,
21-Feb-20,Martin Landriau,,Sarah Eftekharzadeh,,Yuanhang Ning,,
22-Feb-20,Martin Landriau,,Sarah Eftekharzadeh,,Jeffrey A. Newman,,Biprateep Dey
23-Feb-20,Martin Landriau,,Sarah Eftekharzadeh,,Jeffrey A. Newman,,Biprateep Dey
24-Feb-20,Martin Landriau,,Naim Göksel Karaçaylı,,Jeffrey A. Newman,,Biprateep Dey
25-Feb-20,Martin Landriau,,Naim Göksel Karaçaylı,,Jeffrey A. Newman,,Biprateep Dey
26-Feb-20,Martin Landriau,,Naim Göksel Karaçaylı,,Andrea Muñoz Gutiérrez,,
27-Feb-20,Parker Fagrelius,,Naim Göksel Karaçaylı,,Andrea Muñoz Gutiérrez,,
28-Feb-20,Parker Fagrelius,,Aaron Meisner,,Andrea Muñoz Gutiérrez,,
29-Feb-20,Parker Fagrelius,,Aaron Meisner,,Andrea Muñoz Gutiérrez,,
1-Mar-20,Parker Fagrelius,,Arjun Dey,,Andreu Font-Ribera,,
2-Mar-20,Parker Fagrelius,,Arjun Dey,,Andreu Font-Ribera,,
3-Mar-20,Parker Fagrelius,,Andrea Muñoz Gutiérrez,,Andreu Font-Ribera,,
4-Mar-20,Parker Fagrelius,,Andrea Muñoz Gutiérrez,,Andreu Font-Ribera,,
5-Mar-20,Luke Tyas,,Andrea Muñoz Gutiérrez,,Andrew Cooper,,
6-Mar-20,Luke Tyas,,Andrea Muñoz Gutiérrez,,Andrew Cooper,,
7-Mar-20,Luke Tyas,,Oleg Burgueño Gerardo,,Andrew Cooper,,
8-Mar-20,Luke Tyas,,Oleg Burgueño Gerardo,,Andrew Cooper,,
9-Mar-20,Luke Tyas,,Oleg Burgueño Gerardo,,Jim Annis,,
10-Mar-20,Parker Fagrelius,,Oleg Burgueño Gerardo,,Jim Annis,,
11-Mar-20,Parker Fagrelius,,Oleg Burgueño Gerardo,,Jim Annis,,
12-Mar-20,Parker Fagrelius,,Oleg Burgueño Gerardo,,Jim Annis,,
13-Mar-20,Luke Tyas,,Alma Xochitl Gonzalez Morales,,,,
14-Mar-20,Luke Tyas,,Alma Xochitl Gonzalez Morales,,,,
15-Mar-20,Luke Tyas,,Alma Xochitl Gonzalez Morales,,,,
1-Jan-21,Martin Landriau,,Michael Schubnell,Daniel Eisenstein,Huanian Zhang,,
2-Jan-21,Martin Landriau,,Aaron Meisner,Daniel Eisenstein,Huanian Zhang,,
3-Jan-21,Martin Landriau,,Claire Poppett,Daniel Eisenstein,Huanian Zhang,,
4-Jan-21,Martin Landriau,,Jeffrey A. Newman,Adam Myers,Huanian Zhang,,
5-Jan-21,Martin Landriau,,Claire Poppett,Adam Myers,Hee-Jong Seo,,
